Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H25S1V001,H25S1V002,H25S1V003,H25S1V004,H25S1V005,H25S1V006,H25S1V007,H25S1V008,H25S1V009,H25S1V010,H25S1V011,H25S1V012,H25S1V013,H25S1V014,H25S1V015,H25S1V016,H25S1V017
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.02.1962,10.04.1962,10.04.1962,10.09.1962,10.11.1962,10.16.1962,10.17.1962,10.17.1962,10.25.1962,11.06.1962,11.06.1962,11.29.1962,12.04.1962,12.12.1962,01.31.1963,02.05.1963,02.05.1963
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,
328,KENT,Ontario,1914 - 1966,25,1962.06.18,853,3e52a4a0-e62f-4c54-94ab-d3a69b27463d,"CLUNIS, Sidney LeRoi",15362,0.5075,Liberal Party of Canada,Lawyer,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,1,2,2,1,1
489,NORFOLK,Ontario,1933 - 1966,25,1962.06.18,904,41c4ea1f-9653-4587-a010-ab09b03ebfb1,"ROXBURGH, John Maxwell",10882,0.5025,Liberal Party of Canada,"Farmer, fruit grower",,0,1,,,,,,,,,United States,,,,2,1,1,1,2,1,2,2,1,1,1,9,9,2,2,1,1
394,LETHBRIDGE,Alberta,1914 - 1977,25,1962.06.18,908,421f3dbc-95c5-4937-87a3-17caed42c6e3,"GUNDLOCK, Deane R.",11105,0.4407,Progressive Conservative Party,Farmer,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
401,LONDON,Ontario,1867 - 1966,25,1962.06.18,952,44e56019-054f-454f-bffd-55c0f1f3819a,"HALPENNY, G. Ernest",16096,0.5142,Progressive Conservative Party,Chemist,,0,3,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,1,1,1,2,2
731,TIMISKAMING,Ontario,1933 - 1993,25,1962.06.18,958,451d41d6-6f60-40ef-87f1-bd1aea75e8c2,"PETERS, Arnold",7055,0.3245,New Democratic Party,"Miner, representative",,0,3,,,,,,,,,,,,,2,1,1,1,2,2,9,2,9,2,1,1,2,2,2,1,1
90,BURNABY--RICHMOND,British Columbia,1947 - 1970,25,1962.06.18,977,46e054d4-4405-4a28-af60-b309f6cbb588,"PRITTIE, R.W. Bob",15620,0.3855,New Democratic Party,"Foreign-service officer, teacher",,0,1,,,,,,,,,,,,,2,1,1,1,2,2,1,2,2,9,9,1,9,9,9,1,1
564,PRINCE,Prince Edward Island,1903 - 1966,25,1962.06.18,988,47b30b5a-9246-4943-8d28-48bd6d3f5b4f,"PHILLIPS, Orville H.",9133,0.4933,Progressive Conservative Party,"Dental surgeon, dentist",,0,3,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,9,1,9,9
398,LINCOLN,Ontario,1903 - 1996,25,1962.06.18,994,4811db66-11c2-4bc4-b6c1-42c343696cf5,"MCNULTY, James C.",23386,0.4313,Liberal Party of Canada,"Administrator, teacher",,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,9,2,2,1,1
250,GRENVILLE--DUNDAS,Ontario,1924 - 1966,25,1962.06.18,1015,49e2012f-57a9-4610-be45-34048173236c,"CASSELMAN, Jean",10159,0.5932,Progressive Conservative Party,Homemaker,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
243,GLOUCESTER,New Brunswick,1867 - 1990,25,1962.06.18,1020,4a65e108-11f1-4ffd-8421-cf49dfb8cfd5,"ROBICHAUD, Hedard-J.",13519,0.5706,Liberal Party of Canada,"Director of fisheries, executive, fisheries inspector, manager, public servant",,1,4,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,9,9,2,2,1,1
