Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S16S1V01,S16S1V02,S16S2V01,S16S2V02,S16S4V01,S16S4V02,S16S4V03,S16S4V04
Date,,,,,,,,03.24.1926,03.24.1926,03.22.1928,05.08.1928,05.15.1930,05.20.1930,05.30.1930,05.30.1930
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act respecting Old Age Pensions) be read a second time,"Motion that the Bill (An Act respecting Old Age Pensions) be committed to a Committee of the Whole, presently, with the following instructions",Motion that the Bill (An Act to anebd the Post Office Act (Newspaper Ownership)) be read a second time six months hence,Motion that the Bill (An Act to amend the Criminal Code) be now read a second time,Motion that the Bill (An Act to provide in the province of Ontario for the dissolution and the annulment of Marriage) be read a second time six months hence,"Motion that the Bill (An Act to amend the Export Act) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended"
"Sharpe, William Henry",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1916.02.10 - 1942.04.19 ,1916.02.10 , 1942.04.19 ,(Death),1,2,1,2,2,2,9,9
"Parent, Georges",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1942.12.14 ,1930.06.03 , 1942.12.14 ,(Death),99,99,99,99,99,99,99,99
"Graham, George Perry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1943.01.01 ,1926.12.20 , 1943.01.01 ,(Death),1,2,1,9,1,2,9,9
"Prí©vost, Jules-íŠdouard",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1943.10.13 ,1930.06.03 , 1943.10.13 ,(Death),99,99,99,99,99,99,99,99
"Blondin, Pierre íŠdouard",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1918.07.20 - 1943.10.29 ,1918.07.20 , 1943.10.29 ,(Death),1,2,1,9,1,9,2,2
"Little, Edgar Sydney",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1943.12.22 ,1928.01.10 , 1943.12.22 ,(Death),99,99,1,1,2,2,9,2
"MacArthur, Creelman",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1943.12.27 ,1925.09.05 , 1943.12.27 ,(Death),1,2,1,9,2,2,9,9
"Pope, Rufus Henry",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1911.11.14 - 1944.05.16 ,1911.11.14 , 1944.05.16 ,(Death),1,2,1,9,2,1,2,2
"Robinson, Clifford William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1924.05.05 - 1944.07.27 ,1924.05.05 , 1944.07.27 ,(Death),1,2,2,1,2,9,9,9
"Turgeon, Oní©siphore",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1922.10.27 - 1944.11.18 ,1922.10.27 , 1944.11.18 ,(Death),9,9,2,9,1,2,1,1
"Logan, Hance James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1929.02.05 - 1944.12.26 ,1929.02.05 , 1944.12.26 ,(Death),99,99,99,99,2,9,9,9
"Griesbach, William Antrobus",Conservative (1867-1942),Alberta,"Meighen, Arthur",1921.09.15 - 1945.01.21 ,1921.09.15 , 1945.01.21 ,(Death),1,2,9,2,2,1,9,9
